enerc;energia, laskennallinen;fi
xenerc;energia, laskennallinen ilman kuitua;fi
fat;rasva;fi
choavl;hiilihydraatti imeytyvä;fi
chocdf;hiilihydraatti erotuksena;fi
choavlm;hiilihydraatti monosakkaridiekvivalentteina;fi
prot;proteiini;fi
alc;alkoholi;fi
ash;tuhka (kivennäisaineet);fi
water;vesi (kosteus);fi
oa;orgaaniset hapot;fi
sugoh;sokerialkoholi;fi
sugar;sokerit;fi
frus;fruktoosi;fi
gals;galaktoosi;fi
glus;glukoosi;fi
lacs;laktoosi;fi
mals;maltoosi;fi
sucs;sakkaroosi;fi
olsac;oligosakkaridit imeytyvät;fi
starch;tärkkelys;fi
fibc;kuitu, kokonais-;fi
fibt;kuitu yhteissumma;fi
fibins;kuitu veteen liukenematon;fi
stares;tärkkelys resistentti;fi
cellu;selluloosa;fi
lign;ligniini;fi
psacncs;polysakkaridi, vesiliukoinen ei-selluloosa;fi
psacnci;polysakkaridi, liukenematon ei-selluloosa;fi
psacnc;polysakkaridi, ei-selluloosa;fi
agar;agar;fi
glucnb;beetaglukaani;fi
gums;kumit;fi
pect;pektiini;fi
sortl;sorbitoli;fi
xyltl;ksylitoli;fi
mantl;mannitoli;fi
biot;biotiini;fi
fol;folaatti, kokonais-;fi
folch3h4;5-metyylitetrahydrofolaatti eli 5-ch3-h4-folaatti;fi
folfre;folaatti vapaa;fi
folh4;tetrahydrofolaatti eli h4-folaatti;fi
folhcoh4;5-formyylitetrahydrofolaatti eli 5-hco-h4-folaatti;fi
fol10hco;10-formyylifoolihappo eli 10-hco-foolihappo;fi
folate;folaatti (mikrobiologinen menetelmä);fi
niaeq;niasiiniekvivalentti ne;fi
nia;niasiini (nikotiinihappo + nikotiiniamidi);fi
pantac;pantoteenihappo (b5);fi
vitpyrid;pyridoksiini vitameerit (vetykloridi) (b6);fi
pyrid;pyridoksiini vitameerit (b6);fi
pyrxl;pyridoksaali;fi
pyrxm;pyridoksamiini;fi
pyrxn;pyridoksiini;fi
vitb6;b6-vitamiini;fi
ribf;riboflaviini (b2);fi
thia;tiamiini (b1);fi
vita;a-vitamiini rae;fi
xvita;a-vitamiini re;fi
retol;retinoli;fi
retol13;13-cis retinoli;fi
retoldh;dehydroretinoli;fi
rettrans;all-trans-retinoli;fi
ret11cis;cis-11-retinoli;fi
ret911;dicis-911-retinoli;fi
ret9cis;cis-9-retinoli;fi
cartbeq;beetakaroteeniekvivalentti;fi
carotens;karotenoidit;fi
carta;alfakaroteeni;fi
cartb;beetakaroteeni, yhteensä;fi
cartg;gammakaroteeni;fi
crypx;kryptoksantiini;fi
canthax;kantaksantiini;fi
capsa;kapsantiini;fi
lutezeax;luteiini ja zeaksantiini;fi
lyco;lykopeeni;fi
betacar;all-trans-beetakaroteeni;fi
zeax;zeaksantiini;fi
lute;luteiini;fi
vitb12;b12-vitamiini (kobalamiini);fi
vitc;c-vitamiini;fi
vitd;d-vitamiini;fi
cal25oh;25-hydroksikalsiferoli;fi
ergcal;ergokalsiferoli (d2-vitamiini);fi
vite;e-vitamiini alfatokoferoli;fi
xvite;e-vitamiini alfatokoferoliekvivalentti;fi
tocpha;alfatokoferoli;fi
tocphb;beetatokoferoli;fi
tocphd;deltatokoferoli;fi
tocphg;gammatokoferoli;fi
toctra;alfatokotrienoli;fi
toctrb;beetatokotrienoli;fi
toctrg;gammatokotrienoli;fi
toctrd;deltatokotrienoli;fi
vitk;k-vitamiini;fi
menaq;menakinoni;fi
phylq;fyllokinoni;fi
menadn;menadioni;fi
vitk1;k1-vitamiini (fyllokinoni);fi
vitk2;k2-vitamiini (menakinoni);fi
al;alumiini;fi
as;arseeni;fi
b;boori;fi
brd;bromidi;fi
ca;kalsium;fi
cd;kadmium;fi
cld;kloridi;fi
co;koboltti;fi
cr;kromi;fi
cu;kupari;fi
fd;fluoridi;fi
fe;rauta;fi
hg;elohopea;fi
id;jodidi (jodi);fi
k;kalium;fi
mg;magnesium;fi
mn;mangaani;fi
mo;molybdeeni;fi
na;natrium;fi
nacl;suola;fi
ni;nikkeli;fi
nt;typpi, yhteensä;fi
p;fosfori;fi
pb;lyijy;fi
rb;rubidium;fi
s;rikki;fi
se;seleeni;fi
si;pii;fi
sr;strontium;fi
zn;sinkki;fi
fafre;rasvahapot yhteensä;fi
facidctg;rasvahapot yhteensä, laskettu tag ekvivalenteiksi;fi
fapu;rasvahapot monityydyttymättömät;fi
famcis;rasvahapot yksittäistyydyttymättömät cis;fi
fasat;rasvahapot tyydyttyneet;fi
fatrn;rasvahapot trans;fi
faun;rasvahapot tuntemattomat;fi
fapun3;rasvahapot n-3 monityydyttymättömät;fi
fapun3fi;rasvahapot n-3 kala;fi
fapun3ve;rasvahapot n-3 kasvi;fi
fapun6;rasvahapot n-6 monityydyttymättömät;fi
fas4t11;rasvahapot 4:0 - 11:0;fi
fas12t17;rasvahapot 12:0 - 17:0;fi
fas18;rasvahappoisomeerit 18:0;fi
fas19t26;rasvahapot 19:0 - 26:0;fi
famscxr;rasvahapot cis yksittäistyydyttymättömät muut;fi
famstxr;rasvahapot trans yksittäistyydyttymättömät muut;fi
f4d0;rasvahappo 4:0 (voihappo);fi
f6d0;rasvahappo 6:0 (kaproiinihappo);fi
f8d0;rasvahappo 8:0 (kapryylihappo);fi
f9d0;rasvahappo 9:0;fi
f10d0;rasvahappo 10:0 (kapriinihappo);fi
f11d0;rasvahappo 11:0;fi
f12d0;rasvahappo 12:0 (lauriinihappo);fi
f13d0;rasvahappo 13:0;fi
f13d0i;rasvahappo 13:0 iso;fi
f14d0t;rasvahappoisomeerit 14:0;fi
f14d0;rasvahappo 14:0 (myristiinihappo);fi
f14d0ai;rasvahappo 14:0 anteiso;fi
f14d0i;rasvahappo 14:0 iso;fi
f15d0t;rasvahappoisomeerit 15:0;fi
f15d0;rasvahappo 15:0;fi
f15d0ai;rasvahappo 15:0 anteiso;fi
f15d0i;rasvahapo 15:0 iso;fi
f16d0t;rasvahappoisomeerit 16:0;fi
f16d0;rasvahappo 16:0 (palmitiinihappo);fi
f16d0ai;rasvahappo 16:0 anteiso;fi
f16d0i;rasvahappo 16:0 iso;fi
f17d0t;rasvahappoisomeerit 17:0;fi
f17d0;rasvahappo 17:0;fi
f17d0ai;rasvahappo 17:0 anteiso;fi
f17d0i;rasvahappo 17:0 iso;fi
f18d0;rasvahappo 18:0 (steariinihappo);fi
f18d0ai;rasvahappo 18:0 anteiso;fi
f18d0i;rasvahappo 18:0 iso;fi
f19d0;rasvahappo 19:0;fi
f20d0t;rasvahappoisomeerit 20:0;fi
f20d0;rasvahappo 20:0;fi
f20d0i;rasvahappo 20:0 iso;fi
f21d0;rasvahappo 21:0;fi
f22d0;rasvahappo 22:0;fi
f23d0;rasvahapppo 23:0;fi
f24d0;rasvahappo 24:0;fi
f26d0;rasvahappo 26:0;fi
f10d1;rasvahappo 10:1;fi
f12d1;rasvahappo 12:1;fi
f14d1;rasvahappo 14:1;fi
f15d1;rasvahappo 15:1;fi
f16d1t;rasvahappoisomeerit 16:1;fi
f16d1i;rasvahappo 16:1 iso;fi
f16d1n5;rasvahappo 16:1 n-5;fi
f16d1n7;rasvahappo 16:1 n-7;fi
f16d1n9;rasvahappo 16:1 n-9;fi
f17d1;rasvahappo 17:1;fi
f17d1cis;rasvahappo 17:1 cis;fi
f18d1t;rasvahappoisomeerit 18:1;fi
f18d1cis;rasvahappo 18:1 cis;fi
f18d1n5;rasvahappo 18:1 n-5;fi
f18d1n7;rasvahappo 18:1 n-7;fi
f18d1n9;rasvahappo 18:1 n-9;fi
f18d1i;rasvahappo 18:1 iso;fi
f18d1;rasvahappo 18:1;fi
f18d1cn9;rasvahappo 18:1 n-9 cis (öljyhappo);fi
f18d1tn9;rasvahappo 18:1 trans n-9;fi
f19d1;rasvahappo 19:1;fi
f20d1t;rasvahappoisomeerit 20:1;fi
f20d1;rasvahappo 20:1;fi
f20d1cis;rasvahappo 20:1 cis;fi
f20d1n9;rasvahappo 20:1 n-9;fi
f20d1n11;rasvahappo 20:1 n-11;fi
f21d5;rasvahappo 21:5;fi
