mi0001;carbohydrate, ec nutrition labelling directive, calculated from available carbohydrate and polyols;fi
mi0002;eurofir recipe calculation procedure;fi
mi0003;recipe level calculation procedure;fi
mi0004;ingredient level calculation procedure;fi
mi0005;other recipe calculation procedure;fi
mi0101;energy calculated according to southgate (kcal);fi
mi0102;energy calculated according to atwater (kcal, general factors);fi
mi0103;energy calculated according to codex alimentarius (kcal);fi
mi0104;energy calculated according to codex alimentarius (kj);fi
mi0105;energy calculated according to southgate (kj);fi
mi0106;energy calculated according to atwater (specific factors);fi
mi0107;energy calculated according to ec nutrition labelling directive (kj);fi
mi0108;energy calculated according to ec nutrition labelling directive (kcal);fi
mi0109;energy calculated according to ec nutrition labelling directive (kj, polydextrose exception);fi
mi0110;energy calculated according to nordic nutrition recommendations (kj);fi
mi0121;protein calculated from amino acid nitrogen;fi
mi0122;protein calculated from protein nitrogen;fi
mi0123;protein calculated from total nitrogen;fi
mi0124;protein calculated as the sum of individual amino acids;fi
mi0131;carbohydrate, total, calculated by difference;fi
mi0141;water by difference, generic;fi
mi0142;water by difference;fi
mi0143;dry matter calculated from water content;fi
mi0151;sugar calculated as the sum of  individual mono-, di-, and tri-saccharides;fi
mi0153;sugar calculated as the sum of total mono- and di-saccharides;fi
mi0161;starch by difference;fi
mi0171;dietary fibre calculated from total carbohydrates and available carbohydrate;fi
mi0172;dietary fibre calculated from individual fibre fractions;fi
mi0181;carbohydrate, available calculated from sugar and starch;fi
mi0182;carbohydrate, available calculated from sugar, starch, oligosaccharides and matodextrins;fi
mi0183;carbohydrate, available, calculated by difference;fi
mi0201;fatty acid content calculated on fatty acid profile (%);fi
mi0202;fatty acids, total fatty acids calculated as sum of individual fatty acids;fi
mi0203;fatty acids, monounsaturated fatty acids calculated by difference;fi
mi0205;fatty acids, saturated fatty acids by difference;fi
mi0206;fatty acids, trans fatty acids by difference;fi
mi0207;fatty acids, total fatty acids calculated from total fat;fi
mi0208;fatty acids, saturated, calculated as the sum of individual fatty acids, excluding branched chain isomers;fi
mi0209;fatty acids, saturated, calculated as the sum of individual fatty acids, including branched chain isomers;fi
mi0210;fatty acids, monounsaturated, calculated as sum of individual fatty acids, cis isomers only;fi
mi0211;fatty acids, monounsaturated, calculated as sum of individual fatty acids, including trans isomers;fi
mi0212;fatty acids, polyunsaturated, calculated as sum of individual fatty acids, all-cis isomers only;fi
mi0213;fatty acids, polyunsaturated, calculated as sum of individual fatty acids, excluding all-trans isomers;fi
mi0214;fatty acids, polyunsaturated, calculated as sum of individual fatty acids,  including all isomers;fi
mi0215;fatty acids, other polyunsaturated fatty acids calculated by difference;fi
mi0216;fatty acids, total polyunsaturated n-3 fatty acids;fi
mi0231;inputation of a component from one or more components in the same food;fi
mi0301;beta-carotene equivalent calculculation including alpha-carotene and cryptoxanthins;fi
mi0302;carotenes, total, calculated as sum of carotenoids (no activity adjustment);fi
mi0303;beta-carotene calculated from total vitamin a;fi
mi0314;retinol calculated from individual retinoids;fi
mi0315;retinol calculated from trans- and cis-retinol;fi
mi0316;retinol by difference;fi
mi0321;vitamin a activity calculated from retinol and beta-carotene (factor 1/2);fi
mi0322;vitamin a activity calculated from retinol and beta-carotene (factor 1/6);fi
mi0323;vitamin a activity calculated from retinol, beta-carotene and other pro-vitamin a carotenoids (factors 1/6 and 1/12);fi
mi0324;vitamin a activity calculated from retinol and carotenoids;fi
mi0351;vitamin d activity calculated as the sum of ergocalciferol and cholecalciferol;fi
mi0352;vitamin d activity calculated as ergocalciferol;fi
mi0353;vitamin d activity calculated from cholecalciferol and 25-hydroxy cholecalciferol (factor 5);fi
mi0354;vitamin d activity calculated from cholecalciferol, ergocalciferol and 25-hydroxy cholecalciferol;fi
mi0365;vitamin e activity calculated from tocopherols and tocotrienols;fi
mi0368;vitamin e activity calculated as d-alpha-tocopherol;fi
mi0369;vitamin e activity calculated from intrinsic d-alpha-tocoperol and added alpha-tocopherol;fi
mi0421;niacin equivalents calculated from niacin and tryptophan;fi
mi0422;niacin equivalents calculated from niacin and tryptophan (reduced niacin availability);fi
mi0423;niacin equivalents calculated from tryptophan only;fi
