a;analyyttiset tulokset;fi
ag;analysoitu;fi
cg;laskennallinen;fi
d;analysoiduista tuloksista summaamalla johdettu;fi
e;muu arvon tyyppi;fi
g;laskettu aggregoimalla elintarvikkeita;fi
i;johdettu samankaltaisesta elintarvikkeesta;fi
ig;johdettu;fi
k;laskettu samankaltaisesta elintarvikkeesta;fi
l;johdettu lainsäädännön mukaan;fi
o;johdettu toisesta elintarvikkeesta;fi
p;laskettu koostumustiedoista;fi
r;laskettu reseptistä;fi
s;summattu osatekijöistä;fi
t;laskettu kertoimilla;fi
u;loogisesti arvioitu;fi
x;ei tiedossa;fi
