VITA;A-vitamiini RE;UG;900;900;900;900;900;600;700;700;700;700;700
VITD;D-vitamiini μg;UG;10;10;10;10;20;10;10;10;10;10;20
VITE;E-vitamiini α–TE;MG;10;10;10;10;10;7;8;8;8;8;8
THIA;Tiamiini mg;MG;1.4;1.3;1.3;1.2;1.2;1;1.2;1.1;1.1;1;1
RIBF;Riboflaviini mg;MG;1.7;1.5;1.5;1.4;1.3;1.2;1.4;1.3;1.2;1.2;1.2
NIAEQ;Niasiini NE;MG;19;18;18;16;15;14;16;15;14;13;13
VITPYRID;B6vitamiini mg;MG;1.6;1.5;1.5;1.5;1.5;1.1;1.3;1.2;1.2;1.3;1.3
FOL;Folaatti  μg;UG;300;300;300;300;300;200;300;400;300;300;300
VITB12;B12-vitamiini μg;UG;2;2;2;2;2;2;2;2;2;2;2
VITC;C-vitamiini mg;MG;75;75;75;75;75;50;75;75;75;75;75
CA;Kalsium mg;MG;900;800;800;800;800;900;900;800;800;800;800
P;Fosfori mg;MG;700;600;600;600;600;700;700;600;600;600;600
K;Kalium mg;MG;3500;3500;3500;3500;3500;2900;3100;3100;3100;3100;3100
MG;Magnesium mg;MG;350;350;350;350;350;280;280;280;280;280;280
FE;Rauta mg;MG;11;9;9;9;9;11;15;15;15;9;9
ZN;Sinkki mg;MG;12;9;9;9;9;8;9;7;7;7;7
CU;Kupari mg;MG;0.9;0.9;0.9;0.9;0.9;0.7;0.9;0.9;0.9;0.9;0.9
ID;Jodi μg;UG;150;150;150;150;150;150;150;150;150;150;150
SE;Seleeni μg;UG;60;60;60;60;60;40;50;50;50;50;50
FIBC;Ravintokuitu g;G;35;35;35;35;35;25;30;30;30;30;30
SUGAR;Sokeri g;G;60;65;65;60;55;40;45;50;50;45;40
PROT;Proteiini g;G;70;80;80;90;90;45;55;65;65;70;70
NACL;Suola mg;MG;4000;5000;5000;5000;5000;4000;4000;5000;5000;5000;5000
