VITA;A-vitamiini RE;UG;900;900;900;900;900;600;700;700;700;700;700;2500
VITD;D-vitamiini μg;UG;10;10;10;10;20;10;10;10;10;10;20;80
VITE;E-vitamiini α–TE;MG;10;10;10;10;10;7;8;8;8;8;8;250
THIA;Tiamiini mg;MG;1.4;1.3;1.3;1.2;1.2;1;1.2;1.1;1.1;1;1;8
RIBF;Riboflaviini mg;MG;1.7;1.5;1.5;1.4;1.3;1.2;1.4;1.3;1.2;1.2;1.2;8
NIAEQ;Niasiini NE;MG;19;18;18;16;15;14;16;15;14;13;13;100
VITPYRID;B6vitamiini mg;MG;1.6;1.5;1.5;1.5;1.5;1.1;1.3;1.2;1.2;1.3;1.3;10
FOL;Folaatti  μg;UG;300;300;300;300;300;200;300;400;300;300;300;800
VITB12;B12-vitamiini μg;UG;2;2;2;2;2;2;2;2;2;2;2;1000
VITC;C-vitamiini mg;MG;75;75;75;75;75;50;75;75;75;75;75;2000
CA;Kalsium mg;MG;900;800;800;800;800;900;900;800;800;800;800;2000
P;Fosfori mg;MG;700;600;600;600;600;700;700;600;600;600;600;4000
K;Kalium mg;MG;3500;3500;3500;3500;3500;2900;3100;3100;3100;3100;3100;8000
MG;Magnesium mg;MG;350;350;350;350;350;280;280;280;280;280;280;600
FE;Rauta mg;MG;11;9;9;9;9;11;15;15;15;9;9;20
ZN;Sinkki mg;MG;12;9;9;9;9;8;9;7;7;7;7;25
CU;Kupari mg;MG;0.9;0.9;0.9;0.9;0.9;0.7;0.9;0.9;0.9;0.9;0.9;4
ID;Jodi μg;UG;150;150;150;150;150;150;150;150;150;150;150;500
SE;Seleeni μg;UG;60;60;60;60;60;40;50;50;50;50;50;250
FIBC;Ravintokuitu g;G;35;35;35;35;35;25;30;30;30;30;30;200
PROT;Proteiini g;G;70;80;80;90;90;45;55;65;65;70;70;200
NACL;Suola mg;MG;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;5000
